user,text
Zorama10,@ReheSamay @Cryptic_Miind @ReheSamay Cancel Culture/Boycott Culture is not peddled by the left here in India but ra… https://t.co/e7OEgRFpGd
riteshjain86,RT @Spbykothari: Enjoy the best offers on the cutest clothes on Snapdeal! Get up to 65% off on Sweety Pie Gold garments from the house of K…
kumar66156611,@ConsumerAffairs @Flipkart @PMOIndia @amazonIN @snapdeal Sir an Indian company harassing me since last 8day can you help me
HassanK53522297,@flipkartsupport Flipkart will also be in the same condition as Snapdeal.
Snapdeal_Help,@youngmoneyArun Thanks for your valuable feedback. Urvi
youngmoneyArun,"@Snapdeal_Help Hello, thank you for your support, I got the resolution with refund. Please close the ticket and tha… https://t.co/2yIu2Qo9PD"
True_Sikh,@sapnamadan Sapna what have you ordered from Snapdeal
Spbykothari,Enjoy the best offers on the cutest clothes on Snapdeal! Get up to 65% off on Sweety Pie Gold garments from the hou… https://t.co/vWVtZHsXiE
Snapdeal_Help,@Abhishekgg_01 Hi! Inconvenience caused is deeply regretted. Kindly share your contact details via private message… https://t.co/CgndsuwZbW
ConsumerAffairs,@kumar66156611 @Flipkart @PMOIndia @amazonIN @snapdeal Thanks for reaching out! ConsumerAffairs is a US-based priva… https://t.co/EezBySgpCe
KVSATYAMURTY,MUMBAI POLICE CYBER CELL IS USELESS IN GIVING EFFECTIVE RESULTS IN NABBING THE ACCUSED IN SNAPDEAL ONLINE INSPITE O… https://t.co/zdrpu6GWNd
Snapdeal_Help,@Abhishe41500085 Hi! Hamari team ne already apko call karke aapke issue ke baare mein update kiya hain. Kripya requ… https://t.co/OQ73zfAy0p
mostlynakuul,"@iamsrkworld12 Online. Ordered it from Amazon. It's also available on Flipkart, Snapdeal &amp; a couple of sites.. you can google it :)"
Snapdeal_Help,"@CHIRAGJ32701115 We have arranged a call back from our respective team, please grant us some time. We really apprec… https://t.co/kqCD1Nx9l2"
Snapdeal_Help,@CHIRAGJ32701115 Hi! Apologies for the inconvenience. Do reach out to us via “Private Message” for your request. Ha… https://t.co/wJaUJlKMUr
Snapdeal_Help,"@RaviSha96564153 Thank you for taking the time to share your feedback. Your kind words encourage us greatly. Regards, Ashi"
RaviSha96564153,@Snapdeal_Help Mr. Manish gave excellent customer service clarified my many questions regarding my order thanks for helping me
deepak09joshi,"RT @snapdealdiaries: There is something beautiful about a blank canvas, the nothingness of the beginning that is so simple and breathtaking…"
Snapdeal_Help,@SOMuch81626231 Hi! Please don't respond to such tweets as this is incorrect and does not belong to Snapdeal. Thanks! Ashi
snapdealdiaries,"There is something beautiful about a blank canvas, the nothingness of the beginning that is so simple and breathtak… https://t.co/KC3kfEN13t"
SOMuch81626231,"RT @snapdeal: Why have one when you can have so many? 😎 Shop on #Snapdeal now! 

#ToofaniSale #Footwear #Deals #MustHave #Trending #OnlySho…"
SoumenduSOMS1,"@Meesho_Official 
@amazonIN 
@myntra 
@snapdeal 
@ShopClues 
@IndiaMART 
Be careful and choose/approve your seller… https://t.co/iO0QRqJPoZ"
Snapdeal_Help,@Gauravayusi We always request our customers to never share their personal details publicly as our page is visible… https://t.co/5iU6gUX0zR
Snapdeal_Help,@Gauravayusi Hi! I apologize for the disappointing experience you've had. We certainly didn't expect this to happen… https://t.co/zPL1GMdfQ9
Gauravayusi,@1kunalbahl @Snapdeal_Help @snapdeal  order no. 46333415279. very poor service by you. fake pickup created by you.… https://t.co/pjCllRMiqY
Gauravayusi,"@1kunalbahl @Snapdeal_Help @snapdeal 

order no. 46333415279... very poor service by you... please urgently pick th… https://t.co/JOXXGZe01G"
Snapdeal_Help,@Deeksha_92 Hi! We always mandate all our sellers to sell genuine products on our portal. If you see any particular… https://t.co/kZIrQpAlY1
rebel_124,@Snapdeal_Help It’s snatch deal ? @1kunalbahl  Very poor dealing Shame on you
IndianDoraemon,@stockflixx @warikoo @Akshat_World I understand your frustration bt I m just trying to understand what they or othe… https://t.co/86s0PsRUMx
